City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Maniitsoq,GL,65.4167,-52.9,2.53,88,100,13.18,overcast clouds
173,Isabela,PH,6.7085,121.9711,75.25,83,97,2.28,overcast clouds
174,Melilla,ES,35.2937,-2.9383,59.38,72,40,6.91,scattered clouds
175,Wagar,SD,16.1525,36.2032,76.91,41,12,13.87,few clouds
176,Mar Del Plata,AR,-38.0023,-57.5575,89.83,37,0,17.27,clear sky
177,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,70,40,8.05,scattered clouds
178,Adrar,MR,20.5022,-10.0711,65.37,22,100,9.98,overcast clouds
179,Lugovskoy,RU,56.9585,64.529,1.45,100,100,0.36,overcast clouds
180,Shelburne,CA,44.0787,-80.2041,37.85,76,100,15.73,overcast clouds
181,Burgeo,CA,47.6167,-57.6152,22.93,74,99,24.43,overcast clouds
182,Porto Novo,BJ,6.4965,2.6036,84.02,81,100,10.36,overcast clouds
183,Mehamn,NO,71.0357,27.8492,22.95,86,0,14.97,clear sky
184,Petukhovo,RU,55.0692,67.9019,-3.08,99,97,6.11,overcast clouds
185,Gardanne,FR,43.4549,5.4691,51.22,62,61,2.8,broken clouds
186,Zaranj,AF,30.9667,61.8833,55.36,47,0,11.01,clear sky
187,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,100,37.98,mist
188,Butterworth,MY,5.3991,100.3638,77.05,99,20,2.3,few clouds
189,Lagoa Formosa,BR,-18.7786,-46.4075,79.9,65,73,4.29,broken clouds
190,Leno,IT,45.3725,10.2166,43.25,77,75,9.22,broken clouds
191,Puerto Ayacucho,VE,5.6639,-67.6236,91.96,42,98,1.32,overcast clouds
192,Mao,ES,39.8885,4.2658,52.36,71,20,17.27,few clouds
193,Formosa,AR,-26.1775,-58.1781,93.18,36,75,6.91,broken clouds
194,Havelock,US,34.8791,-76.9013,64.38,80,100,10.36,overcast clouds
195,Batticaloa,LK,7.7102,81.6924,77.2,82,100,9.48,moderate rain
196,Marawi,PH,7.9986,124.2928,67.32,90,100,2.57,overcast clouds
197,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,40,10.36,scattered clouds
198,Caravelas,BR,-17.7125,-39.2481,83.89,66,0,12.71,clear sky
199,Hambantota,LK,6.1241,81.1185,77.34,94,40,6.91,scattered clouds
200,Moose Factory,CA,51.2585,-80.6094,1.4,71,75,4.61,broken clouds
201,Kruisfontein,ZA,-34.0033,24.7314,70.79,81,54,10.51,broken clouds
202,Sambava,MG,-14.2667,50.1667,77.05,89,100,7.43,moderate rain
203,Santiago Del Estero,AR,-27.7951,-64.2615,93.83,28,100,8.52,overcast clouds
204,Cerrito,CO,6.8432,-72.694,66.65,48,37,1.66,scattered clouds
205,Changji,CN,44.0167,87.3167,18.39,93,100,4.47,fog
206,Beloha,MG,-25.1667,45.05,71.83,90,100,8.63,moderate rain
207,Mezen,RU,65.8522,44.24,0.73,97,19,6.29,few clouds
208,Skibbereen,IE,51.55,-9.2667,49.1,92,51,6.22,broken clouds
209,Serik,TR,36.9169,31.0989,44.85,92,100,8.32,light rain
210,Mamlyutka,KZ,54.9375,68.5394,-4.14,99,100,6.24,overcast clouds
211,Siilinjarvi,FI,63.0833,27.6667,23.02,93,100,3.44,light snow
212,Itarema,BR,-2.9248,-39.9167,82.74,71,100,13.24,overcast clouds
213,Krotoszyn,PL,51.6987,17.4374,28.56,86,100,1.99,overcast clouds
214,Bonavista,CA,48.6499,-53.1147,23.31,66,100,20.92,overcast clouds
215,Cayenne,GF,4.9333,-52.3333,75.24,94,75,0.0,broken clouds
216,Zhanaozen,KZ,43.3,52.8,31.28,74,95,10.74,overcast clouds
217,Axim,GH,4.8699,-2.2405,81.05,84,100,9.75,overcast clouds
218,Santa Ana,US,33.7456,-117.8678,63.68,83,40,9.22,scattered clouds
219,Nueve De Julio,AR,-35.4444,-60.8831,87.96,41,53,4.0,broken clouds
220,Toledo,ES,39.8333,-4.0,53.31,38,0,1.43,clear sky
221,Husavik,IS,66.0449,-17.3389,45.36,80,100,35.12,overcast clouds
222,Taman,RU,45.2117,36.7161,39.85,70,100,24.32,overcast clouds
223,Machali,CL,-34.1833,-70.6667,83.48,42,0,11.5,clear sky
224,Floro,NO,61.5996,5.0328,43.97,87,75,9.22,broken clouds
225,Calama,CL,-22.4667,-68.9333,73.89,35,40,21.85,scattered clouds
226,Sept-Iles,CA,50.2001,-66.3821,6.06,84,100,3.44,light snow
227,Connersville,US,39.6412,-85.1411,50.41,63,100,7.0,overcast clouds
228,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,24.16,light rain
229,Sawakin,SD,19.1059,37.3321,73.69,68,14,4.18,few clouds
230,Buraydah,SA,26.326,43.975,63.05,30,59,9.73,broken clouds
231,Am Timan,TD,11.0297,20.2827,85.32,11,50,3.11,scattered clouds
232,Sergeyevka,KZ,53.88,67.4158,4.51,95,100,7.14,overcast clouds
233,Oskemen,KZ,49.9565,82.6119,10.36,85,75,2.24,mist
234,Lagoa,PT,39.05,-27.9833,59.58,84,24,17.34,few clouds
235,Maldonado,UY,-34.6667,-54.9167,79.99,47,14,11.05,few clouds
236,San Rafael,AR,-34.6177,-68.3301,98.06,11,1,13.4,clear sky
237,Dolores,AR,-36.3132,-57.6792,92.7,14,0,5.99,clear sky
238,Damghan,IR,36.1683,54.348,39.36,39,0,2.59,clear sky
239,Birjand,IR,32.8663,59.2211,36.07,64,0,6.91,clear sky
240,Havoysund,NO,70.9963,24.6622,28.63,76,100,38.12,light snow
241,Teguise,ES,29.0605,-13.564,61.02,72,0,12.66,clear sky
242,Leshukonskoye,RU,64.8989,45.7622,-4.16,100,90,4.92,overcast clouds
243,Longyearbyen,SJ,78.2186,15.6401,24.64,74,40,37.98,light snow
244,Tandil,AR,-37.3217,-59.1332,89.69,24,4,8.93,clear sky
245,Teguldet,RU,57.3064,88.1667,-10.97,100,100,1.45,overcast clouds
246,Verkhoturye,RU,58.8627,60.8054,7.16,98,100,1.12,overcast clouds
247,Ardesen,TR,41.1911,40.9875,47.1,63,100,3.65,overcast clouds
248,Talnakh,RU,69.4865,88.3972,-0.8,97,100,3.76,overcast clouds
249,Jutai,BR,-5.1833,-68.9,77.16,94,100,3.62,overcast clouds
250,Plouzane,FR,48.3833,-4.6167,46.45,84,0,8.05,clear sky
251,Filingue,NE,14.3521,3.3168,86.58,12,100,10.0,overcast clouds
252,Campos,BR,-21.75,-41.3,91.45,55,20,11.5,few clouds
253,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.35,72,19,9.4,few clouds
254,Esil,KZ,51.9556,66.4042,5.18,97,96,5.32,overcast clouds
255,Karabuk,TR,41.2049,32.6277,36.39,88,100,2.37,overcast clouds
256,Likasi,CD,-10.9814,26.7333,63.9,97,100,4.07,overcast clouds
257,Lebu,CL,-37.6167,-73.65,65.7,76,6,20.27,clear sky
258,Rio Brilhante,BR,-21.8019,-54.5464,83.88,60,92,2.46,overcast clouds
259,Sechura,PE,-5.5569,-80.8222,83.84,56,18,16.89,few clouds
260,Lusambo,CD,-4.9667,23.45,72.25,82,75,2.62,broken clouds
261,Saint-Georges,GD,12.0564,-61.7485,82.08,69,20,32.21,few clouds
262,Pointe Michel,DM,15.25,-61.3833,81.54,65,75,5.75,broken clouds
263,Lima,PE,-12.0432,-77.0282,73.65,73,40,13.8,scattered clouds
264,Zilair,RU,52.2332,57.4392,-2.18,99,92,2.57,overcast clouds
265,Atar,MR,20.5169,-13.0499,70.27,18,68,8.93,broken clouds
266,Sabya,SA,17.1495,42.6254,80.22,65,99,2.08,overcast clouds
267,Ivangorod,RU,59.3716,28.2162,25.95,94,100,12.15,light snow
268,Polunochnoye,RU,60.8697,60.4153,6.08,98,100,2.48,overcast clouds
269,Goderich,CA,43.7501,-81.7165,38.91,75,100,16.11,overcast clouds
270,Parrita,CR,9.5201,-84.3225,85.51,52,12,7.63,few clouds
271,Santa Maria,BR,-29.6842,-53.8069,81.7,42,20,8.05,few clouds
272,Stromness,GB,58.965,-3.296,43.88,78,100,5.01,overcast clouds
273,Camacari,BR,-12.6975,-38.3242,87.57,55,5,10.78,clear sky
274,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,23.02,light intensity drizzle
275,Kyzyl-Suu,KG,42.3414,78.0056,26.29,62,100,6.71,overcast clouds
276,Shubarkuduk,KZ,49.1447,56.4872,2.75,93,35,7.27,scattered clouds
277,Thompson,CA,55.7435,-97.8558,1.56,78,75,3.44,light snow
278,Roquetas De Mar,ES,36.7642,-2.6148,57.61,60,0,13.56,clear sky
279,Zanjan,IR,36.6736,48.4787,22.17,89,100,4.74,overcast clouds
280,Milverton,CA,43.5668,-80.9164,36.64,71,100,11.99,overcast clouds
281,Awbari,LY,26.5921,12.7805,54.9,39,6,6.82,clear sky
282,Grindavik,IS,63.8424,-22.4338,46.87,93,100,39.12,overcast clouds
283,Impfondo,CG,1.6381,18.0667,81.0,28,61,3.0,broken clouds
284,Prizren,XK,42.2139,20.7397,24.44,65,98,5.23,overcast clouds
